Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Work category),Custom field ([CHART] Date of First Response),Comment,Status Category
First page button in the pagination function properly.,RET-121,10127,Bug,To Do,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,nitesh kumar,620b303cef2bd5006ae8ba0d,18/Feb/22 11:21 AM,18/Feb/22 3:50 PM,18/Feb/22 3:47 PM,,,0,"*Steps to reproduce:*

* Navigate to Home/[Customer Searches Report|http://retailm1.upskills.in/admin/index.php?route=report/customer_search&token=d690981wFnhpVCtAidjyzz8A4gOTC7Sc]
* Move to the bottom of the page.
* Then move to any other page than the first page.
* Click on the first page button.

*Expected Output:*

* An error message should appear regarding invalid input.

*Actual Output:*

* The first page button is not redirecting to the first page.",,nitesh kumar,620b303cef2bd5006ae8ba0d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000r3:,,,,,RET Sprint 1,,,,,,,,,,,,To Do
Telephone field is accepting blank spaces.,RET-120,10126,Bug,To Do,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,nitesh kumar,620b303cef2bd5006ae8ba0d,18/Feb/22 11:11 AM,18/Feb/22 3:50 PM,18/Feb/22 11:29 AM,,,0,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to General tab.
* Fill Telephone field with only white spaces.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.



*Actual Output:*

* The form gets submitted Successfully",,nitesh kumar,620b303cef2bd5006ae8ba0d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000qv:,,,,,RET Sprint 1,,,,,,,,,,,,To Do
Telephone field is accepting value less than the actual telephone number.,RET-119,10125,Bug,To Do,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,nitesh kumar,620b303cef2bd5006ae8ba0d,18/Feb/22 11:07 AM,18/Feb/22 3:50 PM,18/Feb/22 11:28 AM,,,0,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to General tab.
* Fill Telephone field with less than the actual telephone Number.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Actual Output:*

* The form gets submited Successfully",,nitesh kumar,620b303cef2bd5006ae8ba0d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000qn:,,,,,RET Sprint 1,,,,,,,,,,,,To Do
Postcode field is submitting alphanumeric value.,RET-118,10124,Bug,To Do,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,nitesh kumar,620b303cef2bd5006ae8ba0d,18/Feb/22 11:00 AM,18/Feb/22 3:50 PM,18/Feb/22 11:34 AM,,,0,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to General tab.
* Fill Postcode field with alphanumeric input.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Actual Output:*

* The form gets submitted successfully.",,nitesh kumar,620b303cef2bd5006ae8ba0d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000qf:,,,,,RET Sprint 1,,,,,,,,,,,,To Do
Amount Field is submitting alphanumeric value ,RET-117,10123,Bug,To Do,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,nitesh kumar,620b303cef2bd5006ae8ba0d,18/Feb/22 10:54 AM,18/Feb/22 3:50 PM,18/Feb/22 11:28 AM,,,0,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to Transactions tab.
* Fill Amount field with alphanumeric values.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Actual Output:*

* The form gets submitted successfully.",,nitesh kumar,620b303cef2bd5006ae8ba0d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000q7:,,,,,RET Sprint 1,,,,,,,,,,,,To Do
Telephone field should accept only the numeric value.,RET-116,10122,Bug,To Do,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,nitesh kumar,620b303cef2bd5006ae8ba0d,18/Feb/22 10:35 AM,18/Feb/22 3:50 PM,18/Feb/22 11:26 AM,,,0,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to General tab.
* Fill Telephone field with alphanumeric input.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Actual Output:*

* The form gets submitted successfully ",,nitesh kumar,620b303cef2bd5006ae8ba0d,,,,,,,,,,,,,,,,,,,,,,,18/Feb/22 10:32 AM;ug:1b7a4829-1848-41cb-aa91-ce9808b1655c;image-20220218-050255.png;https://ibmhaldia-nk.atlassian.net/secure/attachment/10009/image-20220218-050255.png,,,,,,,{},,,,0|i000pz:,,,,,RET Sprint 1,,,,,,,,,,,,To Do
Commission field submits alphanumeric data.,RET-115,10121,Bug,To Do,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,nitesh kumar,620b303cef2bd5006ae8ba0d,18/Feb/22 10:29 AM,18/Feb/22 3:50 PM,18/Feb/22 11:25 AM,,,0,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to Payment Details tab.
* Fill Cheque Payee Name with a blank space.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Actual Output:*

* On entering alphanumeric data in the commission field and submitting it doesn’t give any error.",,nitesh kumar,620b303cef2bd5006ae8ba0d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000pr:,,,,,RET Sprint 1,,,,,,,,,,,,To Do
Submitting Telephone field with special character is allowed,RET-114,10120,Bug,To Do,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,nitesh kumar,620b303cef2bd5006ae8ba0d,18/Feb/22 10:20 AM,18/Feb/22 3:50 PM,18/Feb/22 11:22 AM,,,0,,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to General tab.
* Fill Name fields with a HTML tag.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Actual Output:*

* Telephone field is submitting special character successfully.",nitesh kumar,620b303cef2bd5006ae8ba0d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i000pj:,,,,,RET Sprint 1,,,,,,,,,,,,To Do
HTML tag gets submitted as a Name field.,RET-113,10119,Bug,To Do,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,nitesh kumar,620b303cef2bd5006ae8ba0d,18/Feb/22 10:11 AM,18/Feb/22 3:50 PM,18/Feb/22 11:34 AM,,,0,,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to General tab.
* Fill Name fields with a HTML tag.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Actual Output:*

* After submitting the form with a HTML tag in Name field, it gets submitted succesfully.",nitesh kumar,620b303cef2bd5006ae8ba0d,,,,,,,,,,,RET-1,RET-42,,,,,,,,,,,,,,,,,,{},,,,0|i000p7:,,,,,RET Sprint 1,,,,,,,,,,,,To Do
Cheque Payee Name field submits a blank field successfully which is a mandatory field.,RET-112,10118,Bug,To Do,RET,Retail,software,nitesh kumar,620b303cef2bd5006ae8ba0d,,Medium,,,,nitesh kumar,620b303cef2bd5006ae8ba0d,nitesh kumar,620b303cef2bd5006ae8ba0d,18/Feb/22 9:58 AM,18/Feb/22 3:50 PM,18/Feb/22 11:22 AM,,,0,,"*Steps to reproduce:*

* Navigate to Home/Affiliates/Add.
* Move to Payment Details tab.
* Fill Cheque Payee Name with a blank space.
* Then Save the Form

*Expected Output:*

* An error message should appear regarding invalid input.

*Actual Output:*

* No error message is shown and the form gets submitted successfully.",nitesh kumar,620b303cef2bd5006ae8ba0d,,,,,,,,,,,RET-78,RET-1,,,,,,,,,,,,,,,,,,{},,,,0|i000pb:,,,,,RET Sprint 1,,,,,,,,,,,,To Do
